draw_date,draw_number,n1,n2,n3,n4,n5,mega
2013-01-19,2692,5,10,26,28,43,9
2013-01-23,2693,8,16,22,30,33,4
2013-01-26,2694,4,10,23,24,44,23
2013-01-30,2695,7,22,35,36,37,4
2013-02-02,2696,7,12,15,17,37,25
2013-02-06,2697,1,8,12,32,41,21
2013-02-09,2698,16,32,35,40,47,24
2013-02-13,2699,16,17,20,32,36,10
2013-02-16,2700,13,14,19,35,45,20
2013-02-20,2701,8,14,32,35,37,4
2013-02-23,2702,8,28,32,43,44,11
2013-02-27,2703,5,6,12,15,39,18
2013-03-02,2704,5,10,26,43,44,16
2013-03-06,2705,1,2,3,22,34,8
2013-03-09,2706,3,11,21,36,47,7
2013-03-13,2707,22,23,34,40,42,9
2013-03-16,2708,14,23,28,30,35,24
2013-03-20,2709,8,11,13,22,26,18
2013-03-23,2710,4,11,21,26,46,6
2013-03-27,2711,4,10,29,36,44,17
2013-03-30,2712,5,22,28,37,43,19
2013-04-03,2713,15,21,25,31,44,27
2013-04-06,2714,20,21,32,37,41,22
2013-04-10,2715,9,18,37,41,42,3
2013-04-13,2716,12,14,29,39,41,26
2013-04-17,2717,1,3,5,23,29,15
2013-04-20,2718,3,15,26,32,39,6
2013-04-24,2719,5,25,32,33,46,26
2013-04-27,2720,21,32,36,39,40,25
2013-05-01,2721,9,14,16,18,19,24
2013-05-04,2722,11,13,15,17,26,26
2013-05-08,2723,9,27,28,34,47,6
2013-05-11,2724,30,31,32,34,39,6
2013-05-15,2725,13,17,18,33,46,7
2013-05-18,2726,7,12,30,40,47,16
2013-05-22,2727,19,24,32,45,47,14
2013-05-25,2728,2,11,12,25,32,26
2013-05-29,2729,12,36,37,44,47,13
2013-06-01,2730,6,9,10,25,45,4
2013-06-05,2731,5,8,28,35,39,8
2013-06-08,2732,10,23,30,38,43,8
2013-06-12,2733,30,38,41,42,43,22
2013-06-15,2734,30,33,41,44,47,7
2013-06-19,2735,3,5,32,34,36,20
2013-06-22,2736,9,23,25,27,34,12
2013-06-26,2737,4,20,26,31,36,22
2013-06-29,2738,6,26,30,41,44,8
2013-07-03,2739,14,35,36,40,47,6
2013-07-06,2740,2,18,20,21,45,24
2013-07-10,2741,1,2,3,28,38,21
2013-07-13,2742,1,2,6,25,40,19
2013-07-17,2743,12,17,22,25,37,24
2013-07-20,2744,10,13,27,33,34,23
2013-07-24,2745,10,22,34,37,47,23
2013-07-27,2746,18,20,30,40,42,15
2013-07-31,2747,15,17,29,32,41,23
2013-08-03,2748,12,32,39,46,47,5
2013-08-07,2749,21,29,31,35,45,2
2013-08-10,2750,5,7,14,44,46,27
2013-08-14,2751,1,7,15,31,43,3
2013-08-17,2752,5,8,19,21,37,12
2013-08-21,2753,17,29,36,41,43,17
2013-08-24,2754,1,15,35,40,45,23
2013-08-28,2755,9,25,40,44,47,15
2013-08-31,2756,4,18,24,33,47,1
2013-09-04,2757,12,19,22,37,45,15
2013-09-07,2758,25,28,35,45,47,20
2013-09-11,2759,3,5,14,40,46,2
2013-09-14,2760,7,15,17,33,35,22
2013-09-18,2761,4,7,10,25,41,10
2013-09-21,2762,10,15,25,36,46,18
2013-09-25,2763,5,14,22,25,26,8
2013-09-28,2764,6,22,29,44,46,9
2013-10-02,2765,23,30,37,38,45,22
2013-10-05,2766,13,22,33,46,47,24
2013-10-09,2767,1,32,33,38,43,16
2013-10-12,2768,5,7,13,31,43,20
2013-10-16,2769,9,19,32,40,47,6
2013-10-19,2770,4,21,33,38,41,6
2013-10-23,2771,4,16,28,35,45,1
2013-10-26,2772,11,25,33,35,41,10
2013-10-30,2773,3,12,33,44,47,22
2013-11-02,2774,2,15,23,32,39,12
2013-11-06,2775,3,4,8,13,43,6
2013-11-09,2776,7,14,34,41,46,1
2013-11-13,2777,1,9,13,34,46,13
2013-11-16,2778,18,19,27,29,45,15
2013-11-20,2779,1,3,26,29,37,6
2013-11-23,2780,9,17,22,32,47,3
2013-11-27,2781,6,7,30,41,43,11
2013-11-30,2782,2,11,13,16,22,23
2013-12-04,2783,7,24,28,43,46,13
2013-12-07,2784,3,17,23,37,47,22
2013-12-11,2785,2,18,27,36,37,6
2013-12-14,2786,10,12,18,22,31,2
2013-12-18,2787,14,16,17,24,33,2
2013-12-21,2788,2,32,43,46,47,7
2013-12-25,2789,8,23,26,33,40,14
2013-12-28,2790,4,23,27,28,33,16
2014-01-01,2791,3,9,19,24,42,16
2014-01-04,2792,1,10,14,35,47,11
2014-01-08,2793,16,17,21,26,37,2
2014-01-11,2794,5,9,11,35,43,4
2014-01-15,2795,9,21,34,43,46,21
2014-01-18,2796,16,23,25,35,47,13
2014-01-22,2797,1,7,31,42,44,24
2014-01-25,2798,5,7,13,38,43,11
2014-01-29,2799,5,9,17,29,33,1
2014-02-01,2800,9,14,15,16,44,24
2014-02-05,2801,34,39,40,45,47,18
2014-02-08,2802,12,14,39,43,45,19
2014-02-12,2803,10,19,28,32,39,18
2014-02-15,2804,8,21,24,28,38,1
2014-02-19,2805,10,15,22,24,31,1
2014-02-22,2806,9,22,29,32,39,23
2014-02-26,2807,5,7,17,20,23,23
2014-03-01,2808,4,10,20,30,35,13
2014-03-05,2809,6,32,33,43,44,16
2014-03-08,2810,1,16,26,45,46,5
2014-03-12,2811,4,23,25,33,42,15
2014-03-15,2812,10,20,21,23,36,7
2014-03-19,2813,3,9,13,20,28,24
2014-03-22,2814,8,30,35,38,41,27
2014-03-26,2815,3,8,26,37,46,18
2014-03-29,2816,12,20,24,30,42,7
2014-04-02,2817,7,8,23,37,42,23
2014-04-05,2818,2,13,29,33,41,19
2014-04-09,2819,1,5,13,35,46,14
2014-04-12,2820,2,12,20,27,38,5
2014-04-16,2821,11,16,23,38,39,20
2014-04-19,2822,5,30,31,32,46,7
2014-04-23,2823,2,18,19,25,36,10
2014-04-26,2824,15,16,24,29,35,6
2014-04-30,2825,7,14,16,22,28,20
2014-05-03,2826,5,9,25,31,46,26
2014-05-07,2827,4,6,16,27,39,10
2014-05-10,2828,14,20,21,25,31,25
2014-05-14,2829,8,12,15,28,33,26
2014-05-17,2830,2,4,20,24,27,10
2014-05-21,2831,6,12,36,39,44,2
2014-05-24,2832,11,13,23,27,29,10
2014-05-28,2833,4,14,19,36,41,3
2014-05-31,2834,4,8,15,41,44,2
2014-06-04,2835,7,11,24,37,47,1
2014-06-07,2836,1,3,8,25,40,8
2014-06-11,2837,3,15,23,25,38,7
2014-06-14,2838,5,16,20,29,42,5
2014-06-18,2839,1,31,32,34,47,10
2014-06-21,2840,13,16,18,29,39,3
2014-06-25,2841,4,15,33,40,45,4
2014-06-28,2842,18,27,29,38,42,24
2014-07-02,2843,16,34,42,44,46,9
2014-07-05,2844,3,11,12,26,27,10
2014-07-09,2845,7,20,30,34,45,15
2014-07-12,2846,11,15,18,23,28,12
2014-07-16,2847,3,5,6,14,34,17
2014-07-19,2848,7,15,18,26,39,19
2014-07-23,2849,2,9,33,36,37,12
2014-07-26,2850,16,22,26,31,36,13
2014-07-30,2851,4,11,25,33,40,6
2014-08-02,2852,6,16,22,27,32,3
2014-08-06,2853,2,29,32,37,38,26
2014-08-09,2854,8,13,14,16,33,4
2014-08-13,2855,14,18,20,27,46,18
2014-08-16,2856,12,13,22,27,28,3
2014-08-20,2857,9,11,14,18,36,25
2014-08-23,2858,13,23,25,38,43,23
2014-08-27,2859,1,2,6,29,33,14
2014-08-30,2860,9,15,31,32,46,14
2014-09-03,2861,12,18,21,26,41,10
2014-09-06,2862,6,23,33,36,41,14
2014-09-10,2863,10,12,15,31,46,23
2014-09-13,2864,36,37,38,41,47,5
2014-09-17,2865,6,7,13,39,46,18
2014-09-20,2866,2,7,12,15,38,3
2014-09-24,2867,17,23,28,33,42,1
2014-09-27,2868,1,3,6,42,47,1
2014-10-01,2869,2,6,7,15,37,10
2014-10-04,2870,8,12,27,33,35,27
2014-10-08,2871,1,14,34,42,44,21
2014-10-11,2872,3,5,6,15,18,21
2014-10-15,2873,2,8,18,22,33,13
2014-10-18,2874,9,12,15,23,40,16
2014-10-22,2875,2,20,25,32,33,26
2014-10-25,2876,1,18,22,38,44,26
2014-10-29,2877,12,13,32,38,41,16
2014-11-01,2878,3,12,21,24,42,7
2014-11-05,2879,1,15,21,24,26,26
2014-11-08,2880,19,21,24,25,32,18
2014-11-12,2881,10,20,34,36,47,21
2014-11-15,2882,4,7,34,41,43,25
2014-11-19,2883,8,29,37,43,47,23
2014-11-22,2884,2,4,8,9,18,2
2014-11-26,2885,3,10,20,28,32,12
2014-11-29,2886,5,30,37,45,47,21
2014-12-03,2887,9,19,23,37,47,23
2014-12-06,2888,20,30,38,44,45,20
2014-12-10,2889,1,3,13,25,39,8
2014-12-13,2890,3,7,19,25,42,5
2014-12-17,2891,6,7,14,21,26,22
2014-12-20,2892,5,7,21,31,33,12
2014-12-24,2893,3,6,8,22,38,26
2014-12-27,2894,3,7,19,29,32,26
2014-12-31,2895,8,15,29,35,45,18
2015-01-03,2896,6,14,15,28,44,26
2015-01-07,2897,11,19,30,36,38,7
2015-01-10,2898,1,5,16,24,30,7
2015-01-14,2899,5,14,16,19,36,23
2015-01-17,2900,14,19,29,32,42,27
2015-01-21,2901,4,15,26,27,39,3
2015-01-24,2902,1,15,23,24,30,7
2015-01-28,2903,2,10,36,43,46,23
